[2025-09-22 14:08:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.33,"energy":12.59,"last_seen":"2025-09-22T14:08:27-06:00","linkquality":172,"power":109,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.33,"energy":12.59,"last_seen":"2025-09-22T14:08:27-06:00","linkquality":172,"power":109,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:28] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.33,"energy":12.59,"last_seen":"2025-09-22T14:08:28-06:00","linkquality":172,"power":109,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:28] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.33,"energy":12.59,"last_seen":"2025-09-22T14:08:28-06:00","linkquality":176,"power":109,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.3,"energy":752.5,"last_seen":"2025-09-22T14:08:29-06:00","linkquality":148,"power":16.2,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.29,"energy":752.5,"last_seen":"2025-09-22T14:08:29-06:00","linkquality":148,"power":16.2,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.33,"energy":12.59,"last_seen":"2025-09-22T14:08:32-06:00","linkquality":176,"power":60.9,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.84,"energy":12.59,"last_seen":"2025-09-22T14:08:32-06:00","linkquality":176,"power":60.9,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.84,"energy":12.59,"last_seen":"2025-09-22T14:08:32-06:00","linkquality":176,"power":60.9,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.84,"energy":12.59,"last_seen":"2025-09-22T14:08:33-06:00","linkquality":180,"power":60.9,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
